,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT002,sRLS,Ada Bayes,10117.0,0.000565415537223932,3.9109734730253066e-05,14.456441512560275
2__PSTAT002,RMLE,Persistent,10117.0,-0.0027258718225834882,0.00013163288881712435,-20.707112989405733
2__PSTAT002,RMLE,AR Logit Default,10117.0,-9.095414221859058e-06,1.8468356593588035e-06,-4.9246204735321895
2__PSTAT002,RMLE,AR Flx Logit,10117.0,2.436405343483097e-07,2.132425620288272e-08,11.424946811163016
2__PSTAT002,RMLE,RLS,10117.0,-0.0007976083714687447,0.00011735652460201262,-6.796119380545696
2__PSTAT002,RMLE,sRLS,10117.0,7.138049491073252e-05,3.320926813439484e-05,2.1493086443417893
2__PSTAT002,RMLE,RMLE,0.0,1.0,1.0,0.0
2__PSTAT002,RMLE,sRMLE,10117.0,1.2531646801606656e-07,3.0438987497249446e-08,4.1167688154319615
2__PSTAT002,RMLE,Bayes,10117.0,0.00019145259577000974,9.55502881800692e-06,20.035850990865796
2__PSTAT002,RMLE,Ada Bayes,10117.0,0.0006367960321346645,2.2611682191744562e-05,28.160866333317305
2__PSTAT002,sRMLE,Persistent,10117.0,-0.002725997139051504,0.00013163110452040465,-20.70834566088467
2__PSTAT002,sRMLE,AR Logit Default,10117.0,-9.220730689875125e-06,1.8405128023866981e-06,-5.009622840913265
2__PSTAT002,sRMLE,AR Flx Logit,10117.0,1.1832406633224307e-07,1.3821138305088878e-08,8.560671038215713
2__PSTAT002,sRMLE,RLS,10117.0,-0.0007977336879367606,0.0001173556535014623,-6.797237608546811
2__PSTAT002,sRMLE,sRLS,10117.0,7.12551784427165e-05,3.322015431223735e-05,2.144832204249278
2__PSTAT002,sRMLE,RMLE,10117.0,-1.2531646801606656e-07,3.0438987497249446e-08,-4.1167688154319615
2__PSTAT002,sRMLE,sRMLE,0.0,1.0,1.0,0.0
2__PSTAT002,sRMLE,Bayes,10117.0,0.00019132727930199362,9.57368252987089e-06,19.98372337285904
2__PSTAT002,sRMLE,Ada Bayes,10117.0,0.0006366707156666484,2.260817632858409e-05,28.159690558222902
2__PSTAT002,Bayes,Persistent,10118.0,-0.002917509709413211,0.000130644491186167,-22.33056675512897
