,,Order_Select_1,Order_Select_2,Order_Select_3,Order_Select_4,Order_Select_5,Order_Select_6
T_CGTHW-1,Persistent,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,AR Logit Default,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,RLS,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,sRLS,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,RMLE,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,sRMLE,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,Bayes,1.0,,1.0,1.0,1.0,1.0
T_CGTHW-1,Ada Bayes,1.0,,1.0,1.0,1.0,1.0
T_CLDCW-1,Persistent,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,AR Logit Default,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,RLS,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,sRLS,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,RMLE,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,sRMLE,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,Bayes,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDCW-1,Ada Bayes,1.0,1.0,1.0,1.0,1.0,1.0
T_CLDNW-1,Persistent,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,AR Logit Default,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,RLS,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,sRLS,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,RMLE,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,sRMLE,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,Bayes,1.0,1.0,1.0,,1.0,1.0
T_CLDNW-1,Ada Bayes,1.0,1.0,1.0,,1.0,1.0
T_CLDSW-1,Persistent,1.0,1.0,,1.0,,
T_CLDSW-1,AR Logit Default,1.0,1.0,,1.0,,
T_CLDSW-1,AR Flx Logit,1.0,1.0,,1.0,,
T_CLDSW-1,RLS,1.0,1.0,,1.0,,
T_CLDSW-1,sRLS,1.0,1.0,,1.0,,
T_CLDSW-1,RMLE,1.0,1.0,,1.0,,
T_CLDSW-1,sRMLE,1.0,1.0,,1.0,,
T_CLDSW-1,Bayes,1.0,1.0,,1.0,,
T_CLDSW-1,Ada Bayes,1.0,1.0,,1.0,,
T_COUWW-1,Persistent,1.0,1.0,1.0,1.0,,
T_COUWW-1,AR Logit Default,1.0,1.0,1.0,1.0,,
T_COUWW-1,AR Flx Logit,1.0,1.0,1.0,1.0,,
T_COUWW-1,RLS,1.0,1.0,1.0,1.0,,
T_COUWW-1,sRLS,1.0,1.0,1.0,1.0,,
T_COUWW-1,RMLE,1.0,1.0,1.0,1.0,,
